branch,local_head,upstream,matching_remote_head,matching_remote_state,registered_worktree,purpose_or_hold,next_action
feat/resource-map-arcgis-verifier-20260814,68aabe2e,origin/feat/resource-map-arcgis-verifier-20260814,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/resource-map-enrichment-20260831,bb262360,origin/main,52be622e,different,/Users/calebhamernick/Development/coach-house-platform-resource-map-enrichment-20260831,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/resource-map-owned-crawler-20260902,ad4c5541,origin/feat/resource-map-owned-crawler-20260902,ad4c5541,same,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/s29-student-dashboard,a5c75fe8,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/s31-authoring-ux,a7254726,,a7254726,same,,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/stripe-gating-onboarding,535331da,,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/team-internal-tooling-release-20260920,b7c9a0c3,origin/feat/team-internal-tooling-release-20260920,b7c9a0c3,same,/Users/calebhamernick/Development/coach-house-platform-team-release-20260920,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/unified-profile-settings-20260903,bb262360,origin/main,none,none,/Users/calebhamernick/Development/coach-house-platform-unified-profile-settings-20260903,account/profile source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/workspace-access-drawer-20260818,1a0fd0ea,origin/feat/workspace-access-drawer-20260818,1a0fd0ea,same,/private/tmp/coach-house-workspace-access.qTQYsm,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/workspace-access-management-20260831,bb262360,origin/feat/workspace-access-management-20260831,none,none,/Users/calebhamernick/Development/coach-house-platform-workspace-access-management-20260831,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/workspace-particles-objective-resume-20260922,c855aea6,,none,none,/Users/calebhamernick/Development/coach-house-platform-particles-objective-resume-20260922,Particles/Objectives source,preserve; compare file/hunk against current main before reuse
feat/workspace-tools-center-20260828,bb262360,origin/feat/workspace-tools-center-20260828,none,none,/Users/calebhamernick/Development/coach-house-platform-tools-20260828,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feat/workspace-ui-polish-20260828,bb262360,origin/main,53019df6,different,/Users/calebhamernick/Development/coach-house-platform-workspace-ui-polish-20260828,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
feature/page-health-monitor-2026-07-07,acda4124,origin/feature/page-health-monitor-2026-07-07,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/bounded-page-health-telemetry-20260814,ab389344,origin/fix/bounded-page-health-telemetry-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/coach-unassigned-org-visibility-20260922,793d02f1,origin/fix/coach-unassigned-org-visibility-20260922,none,none,/Users/calebhamernick/Development/coach-house-platform-coach-unassigned-visibility-20260922,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/development-consolidation-base-20260909,4c42e323,,none,none,/Users/calebhamernick/Development/coach-house-platform-pr229-base-repair-20260909,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/document-upload-atomicity-20260811,7d803af9,origin/fix/document-upload-atomicity-20260811,none,none,,Org/Documents source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/finance-drawer-entry-20260810,1019f72c,origin/fix/finance-drawer-entry-20260810,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/finance-stripe-ci-20260814,2588f790,origin/fix/finance-stripe-ci-20260814,none,none,,historical or mixed source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-active-total-count-20260814,01a81c49,origin/fix/find-active-total-count-20260814,01a81c49,same,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-claimable-listings,9af5b41a,origin/fix/find-claimable-listings,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-drawer-initial-collapsed-20260829,bb262360,origin/fix/find-drawer-initial-collapsed-20260829,none,none,/Users/calebhamernick/Development/coach-house-platform-find-drawer-initial-collapsed-20260829,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-light-mode-contrast-20260811,bf7ec56b,origin/fix/find-light-mode-contrast-20260811,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-mobile-logo-performance-20260814,5b2e00d4,origin/fix/find-mobile-logo-performance-20260814,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-mobile-performance-closeout-20260814,0060ae4a,origin/fix/find-mobile-performance-closeout-20260814,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-progressive-render-performance-20260814,aee21f9e,origin/fix/find-progressive-render-performance-20260814,none,none,,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
fix/find-stable-active-count-20260820,69a5dd06,origin/fix/find-stable-active-count-20260820,none,none,/private/tmp/coach-house-find-active-count-20260820,public Find or resource source; held for comparison,preserve; compare file/hunk against current main before reuse
